iter	Passed	Remaining
0	21	21166
1	22	11242
2	23	7804
3	24	6104
4	25	5080
5	26	4377
6	27	3884
7	28	3514
8	34	3777
9	35	3562
10	38	3433
11	40	3337
12	42	3230
13	48	3440
14	50	3324
15	52	3257
16	54	3180
17	56	3059
18	57	2950
19	58	2885
20	60	2826
21	63	2813
22	64	2732
23	65	2651
24	66	2574
25	67	2513
26	67	2444
27	68	2383
28	69	2322
29	70	2264
30	71	2234
31	72	2194
32	74	2170
33	74	2127
34	75	2083
35	76	2041
36	76	2001
37	77	1963
38	78	1927
39	78	1895
40	79	1865
41	80	1839
42	81	1811
43	82	1784
44	83	1770
45	84	1761
46	85	1743
47	86	1721
48	87	1702
49	89	1706
50	91	1702
51	92	1681
52	92	1661
53	93	1641
54	94	1621
55	95	1601
56	95	1583
57	96	1566
58	99	1586
59	100	1578
60	101	1566
61	102	1551
62	103	1536
63	104	1521
64	104	1507
65	105	1492
66	106	1478
67	106	1464
68	107	1450
69	108	1437
70	109	1426
71	109	1415
72	110	1402
73	112	1401
74	113	1400
75	114	1392
76	115	1381
77	115	1369
78	116	1358
79	117	1347
80	117	1336
81	118	1326
82	118	1312
83	119	1302
84	120	1293
85	120	1284
86	121	1275
87	122	1266
88	122	1258
89	123	1249
90	124	1241
91	127	1259
92	129	1260
93	130	1253
94	130	1246
95	131	1239
96	132	1233
97	133	1226
98	133	1219
99	134	1211
100	135	1203
101	135	1196
102	136	1189
103	137	1182
104	137	1175
105	153	1290
106	155	1296
107	160	1323
108	162	1325
109	163	1319
110	163	1311
111	164	1303
112	165	1296
113	165	1288
114	166	1281
115	167	1273
116	167	1265
117	170	1273
118	172	1275
119	174	1277
120	177	1289
121	183	1317
122	185	1324
123	186	1319
124	187	1313
125	188	1310
126	192	1321
127	193	1321
128	196	1329
129	198	1325
130	199	1325
131	201	1322
132	202	1322
133	204	1321
134	205	1317
135	206	1312
136	207	1308
137	210	1312
138	211	1307
139	212	1306
140	216	1319
141	217	1313
142	218	1309
143	219	1303
144	222	1309
145	224	1310
146	225	1311
147	227	1312
148	229	1309
149	230	1305
150	232	1305
151	233	1300
152	235	1303
153	238	1311
154	240	1308
155	241	1304
156	242	1300
157	243	1298
158	244	1294
159	245	1289
160	246	1283
161	247	1277
162	248	1276
163	251	1281
164	253	1281
165	254	1279
166	255	1274
167	257	1274
168	258	1270
169	259	1266
170	260	1261
171	260	1255
172	262	1254
173	264	1256
174	265	1253
175	266	1249
176	267	1245
177	269	1245
178	270	1242
179	271	1237
180	272	1232
181	273	1227
182	276	1235
183	278	1235
184	279	1233
185	280	1229
186	282	1226
187	284	1229
188	285	1226
189	288	1229
190	292	1239
191	293	1237
192	295	1233
193	297	1236
194	298	1232
195	299	1227
196	306	1247
197	308	1248
198	309	1245
199	310	1243
200	312	1242
201	313	1237
202	313	1232
203	315	1231
204	323	1255
205	326	1259
206	327	1254
207	328	1250
208	331	1252
209	336	1267
210	337	1263
211	339	1261
212	341	1260
213	341	1255
214	344	1256
215	345	1252
216	346	1248
217	349	1252
218	353	1259
219	355	1259
220	357	1260
221	360	1264
222	363	1265
223	364	1261
224	365	1257
225	366	1255
226	367	1250
227	367	1245
228	368	1242
229	369	1238
230	370	1234
231	372	1234
232	375	1234
233	376	1232
234	377	1227
235	377	1223
236	378	1218
237	379	1213
238	379	1209
239	380	1204
240	382	1205
241	383	1202
242	388	1210
243	391	1212
244	392	1208
245	393	1206
246	394	1202
247	395	1198
248	396	1194
249	396	1190
250	397	1186
251	398	1182
252	403	1192
253	406	1194
254	407	1191
255	408	1187
256	409	1183
257	410	1179
258	411	1175
259	411	1172
260	412	1168
261	413	1164
262	416	1166
263	417	1164
264	418	1160
265	419	1157
266	420	1153
267	420	1149
268	421	1146
269	422	1143
270	423	1140
271	424	1137
272	425	1133
273	426	1129
274	427	1127
275	430	1128
276	431	1125
277	432	1122
278	433	1119
279	433	1115
280	434	1111
281	435	1107
282	435	1104
283	436	1100
284	437	1096
285	437	1092
286	438	1089
287	439	1085
288	441	1086
289	444	1089
290	446	1086
291	447	1083
292	448	1081
293	450	1082
294	452	1080
295	453	1077
296	455	1078
297	459	1083
298	461	1081
299	462	1079
300	463	1076
301	464	1073
302	476	1096
303	477	1093
304	478	1089
305	478	1085
306	479	1082
307	480	1078
308	480	1075
309	481	1071
310	482	1067
311	482	1064
312	483	1061
313	484	1057
314	484	1054
315	485	1050
316	487	1050
317	489	1048
318	489	1045
319	490	1042
320	491	1039
321	492	1036
322	492	1032
323	493	1029
324	494	1026
325	494	1022
326	495	1019
327	498	1021
328	501	1022
329	503	1022
330	505	1020
331	506	1018
332	507	1016
333	509	1015
334	510	1013
335	512	1012
336	513	1010
337	516	1010
338	517	1009
339	519	1007
340	520	1005
341	521	1003
342	523	1002
343	524	1000
344	526	998
345	537	1016
346	539	1014
347	540	1012
348	541	1010
349	548	1018
350	550	1017
351	551	1015
352	552	1013
353	554	1012
354	556	1010
355	560	1014
356	563	1015
357	564	1013
358	566	1011
359	567	1008
360	573	1015
361	575	1013
362	576	1011
363	577	1009
364	579	1008
365	583	1010
366	585	1010
367	587	1008
368	588	1006
369	590	1004
370	591	1002
371	592	1000
372	598	1006
373	600	1004
374	601	1002
375	604	1003
376	606	1001
377	607	1000
378	613	1004
379	614	1002
380	615	1000
381	618	1000
382	619	998
383	621	996
384	623	995
385	626	996
386	629	997
387	631	995
388	632	993
389	651	1018
390	652	1016
391	653	1014
392	657	1015
393	659	1014
394	660	1012
395	662	1010
